,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
187,1932,2013-07-01 00:48:36,2013-07-01 01:20:48,348,W Broadway & Spring St,40.72490985,-74.00154702,360,William St & Pine St,40.70717936,-74.00887308,17362,Customer,\N,0
189,854,2013-07-01 00:48:58,2013-07-01 01:03:12,489,10 Ave & W 28 St,40.75066386,-74.00176802,496,E 16 St & 5 Ave,40.73726186,-73.99238967,18884,Subscriber,1971,1
190,997,2013-07-01 00:49:01,2013-07-01 01:05:38,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,16018,Subscriber,1989,2
192,1297,2013-07-01 00:49:13,2013-07-01 01:10:50,428,E 3 St & 1 Ave,40.72467721,-73.98783413,428,E 3 St & 1 Ave,40.72467721,-73.98783413,19403,Subscriber,1961,1
193,604,2013-07-01 00:49:18,2013-07-01 00:59:22,410,Suffolk St & Stanton St,40.72066442,-73.98517977,308,St James Pl & Oliver St,40.71307916,-73.99851193,18526,Customer,\N,0
196,914,2013-07-01 00:50:31,2013-07-01 01:05:45,432,E 7 St & Avenue A,40.72621788,-73.98379855,494,W 26 St & 8 Ave,40.74734825,-73.99723551,19271,Subscriber,1979,1
206,1600,2013-07-01 00:53:23,2013-07-01 01:20:03,469,Broadway & W 53 St,40.76344058,-73.98268129,195,Liberty St & Broadway,40.70905623,-74.01043382,17097,Customer,\N,0
209,293,2013-07-01 00:53:35,2013-07-01 00:58:28,509,9 Ave & W 22 St,40.7454973,-74.00197139,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,19493,Subscriber,1987,1
212,607,2013-07-01 00:53:58,2013-07-01 01:04:05,268,Howard St & Centre St,40.71910537,-73.99973337,295,Pike St & E Broadway,40.71406667,-73.99293911,18943,Customer,\N,0
215,537,2013-07-01 00:54:47,2013-07-01 01:03:44,237,E 11 St & 2 Ave,40.73047309,-73.98672378,497,E 17 St & Broadway,40.73704984,-73.99009296,18144,Subscriber,1983,1
216,335,2013-07-01 00:55:36,2013-07-01 01:01:11,309,Murray St & West St,40.7149787,-74.013012,320,Church St & Leonard St,40.71743998,-74.00583475,15855,Subscriber,1978,1
219,1259,2013-07-01 00:56:34,2013-07-01 01:17:33,147,Greenwich St & Warren St,40.71542197,-74.01121978,388,W 26 St & 10 Ave,40.749717753,-74.002950346,19995,Subscriber,1964,2
223,297,2013-07-01 00:58:44,2013-07-01 01:03:41,237,E 11 St & 2 Ave,40.73047309,-73.98672378,475,E 16 St & Irving Pl,40.73524276,-73.98758561,17741,Customer,\N,0
225,772,2013-07-01 00:58:48,2013-07-01 01:11:40,483,E 12 St & 3 Ave,40.73223272,-73.98889957,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,16418,Customer,\N,0
227,1723,2013-07-01 00:59:31,2013-07-01 01:28:14,405,Washington St & Gansevoort St,40.739323,-74.008119,355,Bayard St & Baxter St,40.71602118,-73.99974372,14972,Subscriber,1985,2
229,650,2013-07-01 01:00:14,2013-07-01 01:11:04,405,Washington St & Gansevoort St,40.739323,-74.008119,329,Greenwich St & N Moore St,40.72043411,-74.01020609,16438,Customer,\N,0
233,461,2013-07-01 01:03:43,2013-07-01 01:11:24,497,E 17 St & Broadway,40.73704984,-73.99009296,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,19880,Subscriber,1965,1
234,1089,2013-07-01 01:04:27,2013-07-01 01:22:36,458,11 Ave & W 27 St,40.751396,-74.00522600000001,280,E 10 St & 5 Ave,40.73331967,-73.99510132,20595,Customer,\N,0
241,1458,2013-07-01 01:08:03,2013-07-01 01:32:21,426,West St & Chambers St,40.71754834,-74.01322069,116,W 17 St & 8 Ave,40.74177603,-74.00149746,15741,Customer,\N,0
243,166,2013-07-01 01:08:37,2013-07-01 01:11:23,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,223,W 13 St & 7 Ave,40.73781509,-73.99994661,16928,Subscriber,1962,1
247,1162,2013-07-01 01:09:15,2013-07-01 01:28:37,453,W 22 St & 8 Ave,40.74475148,-73.99915362,524,W 43 St & 6 Ave,40.75527307,-73.98316936,17566,Subscriber,1984,1
250,316,2013-07-01 01:09:38,2013-07-01 01:14:54,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,357,E 11 St & Broadway,40.73261787,-73.99158043,20578,Subscriber,1983,1
256,640,2013-07-01 01:11:48,2013-07-01 01:22:28,480,W 53 St & 10 Ave,40.76669671,-73.99061728,309,Murray St & West St,40.7149787,-74.013012,19581,Subscriber,1991,1
258,947,2013-07-01 01:12:53,2013-07-01 01:28:40,309,Murray St & West St,40.7149787,-74.013012,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,18003,Subscriber,1985,1
261,945,2013-07-01 01:14:44,2013-07-01 01:30:29,426,West St & Chambers St,40.71754834,-74.01322069,427,State St,40.70251526,-74.01427023,19150,Customer,\N,0
269,1772,2013-07-01 01:15:39,2013-07-01 01:45:11,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,290,2 Ave & E 58 St,40.76020258,-73.96478473,18455,Subscriber,1986,1
271,709,2013-07-01 01:16:26,2013-07-01 01:28:15,508,W 46 St & 11 Ave,40.76341379,-73.99667444,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19245,Subscriber,1975,1
272,807,2013-07-01 01:16:32,2013-07-01 01:29:59,233,Joralemon St & Adams St,40.69246277,-73.98963911,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,18386,Subscriber,1985,1
