start station name,usertype
W 53 St & 10 Ave,2946
W 54 St & 9 Ave,2001
W 56 St & 10 Ave,2656
W 56 St & 6 Ave,3733
W 59 St & 10 Ave,2888
W Broadway & Spring St,4914
Warren St & Church St,2361
Washington Ave & Greene Ave,673
Washington Ave & Park Ave,972
Washington Park,793
Washington Pl & 6 Ave,2976
Washington Pl & Broadway,3552
Washington Square E,3893
Washington St & Gansevoort St,5714
Water - Whitehall Plaza,1726
Watts St & Greenwich St,3422
West St & Chambers St,11099
West Thames St,4681
William St & Pine St,2081
Willoughby Ave & Hall St,850
Willoughby Ave & Walworth St,635
Willoughby St & Fleet St,1087
Wythe Ave & Metropolitan Ave,2251
York St & Jay St,1980
